HUGE_NEGATIVE -> -1000.0
HUGE_POSITIVE -> 1000.0
STOP_TIME -> 0
STOP_ITERATIONS -> 1
STOP_FMCALLS -> 2
CUSTOM_HEURISTIC -> 0
ADVANCED_HEURISTIC -> 1
epsilon -> 1.0E-6
K -> 1.4142135623730951
rollout_depth -> 14
heuristic_method -> 0
stop_type -> 1
num_iterations -> 300
num_fmcalls -> 2000
num_time -> 40
SAFE_PLACE_DEFAULT -> 0
SAFE_PLACE_ADVANCED -> 1
SAFE_PLACE_EARLY_STOP -> 2
safe_place_method -> 0
UCT_UCB1 -> 0
UCT_UCB1_TURNED -> 1
uct_method -> 0
uctBias -> 0.1
progressiveUnpruningEnable -> true
progressiveUnpruningT -> 30
progressiveUnpruningKInit -> 4
progressiveUnpruningA -> 60.0
progressiveUnpruningB -> 1.3
WARNING: Invalid agent ID: 7
0-20-5--1-0-7-0-5 [DoNothing,MCV2,DoNothing,MCTS]
1636325041935, 16167, 0/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636328036251, 47420, 96/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636328061590, 47420, 97/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636328086736, 47420, 98/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636328110725, 47420, 99/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
N 	Win 	Tie 	Loss 	Player (overtime average)
100	0.0%	19.0%	81.0%	players.DoNothingPlayer (0.0)
100	30.0%	49.0%	21.0%	players.mcts_v2.mcts.MCTSPlayer_V2 (1.0)
100	0.0%	19.0%	81.0%	players.DoNothingPlayer (0.0)
100	21.0%	49.0%	30.0%	players.mcts.MCTSPlayer (0.0)
java -jar out/eval/java-pommerman.jar 0 20 5 -1 0 7 0 5 300 14 UCT_UCB1 SAFE_PLACE_DEFAULT CUSTOM_HEURISTIC 0.1 true 30 4 60 1.3
